id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
2061,DABC,large_airport,Mohamed Boudiaf International Airport,36.276001,6.62039,2265,AF,DZ,DZ-25,Constantine,yes,DABC,CZL,DABC,,https://www.egsa-constantine.dz/constantine.html,https://en.wikipedia.org/wiki/Mohamed_Boudiaf_International_Airport,
2063,DABT,large_airport,Batna Mostefa Ben Boulaid Airport,35.752102,6.30859,2697,AF,DZ,DZ-05,Batna,yes,DABT,BLJ,DABT,,,https://en.wikipedia.org/wiki/Batna_Airport,
2068,DAOI,large_airport,Chlef Aboubakr Belkaid International Airport,36.216614,1.341114,463,AF,DZ,DZ-02,Chlef,yes,DAOI,CFK,DAOI,,,https://en.wikipedia.org/wiki/Chlef_International_Airport,Ech Cheliff Airport
2070,DAON,large_airport,Zenata – Messali El Hadj Airport,35.012732,-1.457117,814,AF,DZ,DZ-13,Zenata,yes,DAON,TLM,DAON,,,https://en.wikipedia.org/wiki/Zenata_%E2%80%93_Messali_El_Hadj_Airport,Tlemcen
2071,DAOO,large_airport,Oran Es-Sénia (Ahmed Ben Bella) International Airport,35.620648,-0.622486,295,AF,DZ,DZ-31,Es-Sénia,yes,DAOO,ORN,DAOO,,,https://en.wikipedia.org/wiki/Oran_Es_Senia_Airport,Es Senia
2076,DAUB,large_airport,Biskra - Mohamed Khider Airport,34.79318,5.738899,289,AF,DZ,DZ-07,Biskra,yes,DAUB,BSK,DAUB,,,https://en.wikipedia.org/wiki/Biskra_Airport,
2087,DBBB,large_airport,Cotonou Cadjehoun International Airport,6.35723,2.38435,19,AF,BJ,BJ-AQ,Cotonou,yes,DBBB,COO,DBBB,,,https://en.wikipedia.org/wiki/Cadjehoun_Airport,
2088,DFFD,large_airport,Ouagadougou Thomas Sankara International Airport,12.3532,-1.51242,1037,AF,BF,BF-KAD,Ouagadougou,yes,DFFD,OUA,DFFD,,,https://en.wikipedia.org/wiki/Ouagadougou_Airport,
2089,DFOO,large_airport,Bobo Dioulasso Airport,11.1601,-4.33097,1511,AF,BF,BF-HOU,Bobo Dioulasso,yes,DFOO,BOY,DFOO,,,https://en.wikipedia.org/wiki/Bobo_Dioulasso_Airport,
2090,DGAA,large_airport,Kotoka International Airport,5.605189800262451,-0.16678600013256073,205,AF,GH,GH-AA,Accra,yes,DGAA,ACC,DGAA,,,https://en.wikipedia.org/wiki/Kotoka_International_Airport,
2091,DGLE,large_airport,Yakubu Tali International Airport,9.553909,-0.86606,553,AF,GH,GH-NP,Tamale,yes,DGLE,TML,DGLE,,https://www.gacl.com.gh/tamale-airport/,https://en.wikipedia.org/wiki/Tamale_Airport,Tamale International Airport
2093,DGSI,large_airport,Prempeh I International Airport,6.71456,-1.59082,942,AF,GH,GH-AH,Kumasi,yes,DGSI,KMS,DGSI,,,https://en.wikipedia.org/wiki/Prempeh_I_International_Airport,
2096,DIAP,large_airport,Félix-Houphouët-Boigny International Airport,5.26139,-3.92629,21,AF,CI,CI-AB,Abidjan,yes,DIAP,ABJ,DIAP,,,https://en.wikipedia.org/wiki/F%C3%A9lix-Houphou%C3%ABt-Boigny_International_Airport,Port Bouët
2102,DIYO,large_airport,Yamoussoukro International Airport,6.90317,-5.36558,699,AF,CI,CI-YM,Yamoussoukro,no,DIYO,ASK,DIYO,,,https://en.wikipedia.org/wiki/Yamoussoukro_Airport,
2104,DNAA,large_airport,Nnamdi Azikiwe International Airport,9.00679,7.26317,1123,AF,NG,NG-FC,Abuja,yes,DNAA,ABV,DNAA,,http://www.faannigeria.org/nigeria-airport.php?airport=3,https://en.wikipedia.org/wiki/Nnamdi_Azikiwe_International_Airport,
300781,DNAS,large_airport,Asaba International Airport,6.204167,6.665278,305,AF,NG,NG-DE,Asaba,yes,DNAS,ABB,DNAS,,,https://en.wikipedia.org/wiki/Asaba_International_Airport,Onitsha
323056,DNBC,large_airport,Sir Abubakar Tafawa Balewa Bauchi State International Airport,10.482833,9.744,1965,AF,NG,NG-BA,Bauchi,yes,DNBC,BCU,DNBC,,,https://en.wikipedia.org/wiki/Bauchi_State_Airport,Bauchi State Airport
2108,DNEN,large_airport,Akanu Ibiam International Airport,6.473718,7.560463,466,AF,NG,NG-EN,Enegu,yes,DNEN,ENU,DNEN,,https://www.faannigeria.org/nigeria-airport.php?airport=11,https://en.wikipedia.org/wiki/Akanu_Ibiam_International_Airport,Enegu Airport
2111,DNIL,large_airport,General Tunde Idiagbon International Airport,8.44021,4.49392,1126,AF,NG,NG-KW,Ilorin/Ogbomosho,yes,DNIL,ILR,DNIL,,http://www.faannigeria.org/nigeria-airport.php?airport=20,https://en.wikipedia.org/wiki/Ilorin_International_Airport,Ilorin International Airport
2114,DNKA,large_airport,Kaduna International Airport,10.696,7.32011,2073,AF,NG,NG-KD,Kaduna,yes,DNKA,KAD,DNKA,,http://www.faannigeria.org/nigeria-airport.php?airport=10,https://en.wikipedia.org/wiki/Kaduna_Airport,
2115,DNKN,large_airport,Mallam Aminu Kano International Airport,12.045613,8.523566,1562,AF,NG,NG-KN,Kano,yes,DNKN,KAN,DNKN,,http://www.faannigeria.org/nigeria-airport.php?airport=2,https://en.wikipedia.org/wiki/Mallam_Aminu_Kano_International_Airport,
2116,DNMA,large_airport,Maiduguri International Airport,11.854163,13.080702,1099,AF,NG,NG-BO,Maiduguri,yes,DNMA,MIU,DNMA,,http://www.faannigeria.org/nigeria-airport.php?airport=14,https://en.wikipedia.org/wiki/Maiduguri_International_Airport,
2118,DNMM,large_airport,Murtala Muhammed International Airport,6.57737,3.32116,135,AF,NG,NG-LA,Lagos,yes,DNMM,LOS,DNMM,,http://www.faannigeria.org/nigeria-airport.php?airport=1,https://en.wikipedia.org/wiki/Murtala_Muhammed_International_Airport,
2120,DNPO,large_airport,Port Harcourt International Airport,5.01549,6.94959,87,AF,NG,NG-RI,Port Harcourt,yes,DNPO,PHC,DNPO,,http://www.faannigeria.org/nigeria-airport.php?airport=4,https://en.wikipedia.org/wiki/Port_Harcourt_International_Airport,
2121,DNSO,large_airport,Sadiq Abubakar III International Airport,12.915729,5.207547,1010,AF,NG,NG-SO,Sokoto,yes,DNSO,SKO,DNSO,,http://www.faannigeria.org/nigeria-airport.php?airport=13,https://en.wikipedia.org/wiki/Sadiq_Abubakar_III_International_Airport,Sultan Saddik Abubakar Airport
2125,DRRN,large_airport,Diori Hamani International Airport,13.4815,2.18361,732,AF,NE,NE-8,Niamey,yes,DRRN,NIM,DRRN,,,https://en.wikipedia.org/wiki/Diori_Hamani_International_Airport,
2133,DTTA,large_airport,Tunis Carthage International Airport,36.851002,10.2272,22,AF,TN,TN-11,Tunis,yes,DTTA,TUN,DTTA,,http://www.oaca.nat.tn/english/div_horizontal_tunis_airport_eng.htm,https://en.wikipedia.org/wiki/Tunis-Carthage_International_Airport,"Aéroport international de Tunis-Carthage, مطار تونس قرطاج الدولي"
2139,DTTJ,large_airport,Djerba Zarzis International Airport,33.873719,10.7773,19,AF,TN,TN-82,Mellita,yes,DTTJ,DJE,DTTJ,,http://www.aeroport-de-djerba-zarzis.com/,https://en.wikipedia.org/wiki/Djerba-Zarzis_Airport,
2141,DTTX,large_airport,Sfax Thyna International Airport,34.717999,10.691,85,AF,TN,TN-61,Sfax,yes,DTTX,SFA,DTTX,,,https://en.wikipedia.org/wiki/Thyna_Airport,
2143,DXNG,large_airport,Niamtougou International Airport,9.766675,1.090944,1515,AF,TG,TG-K,Niamtougou,no,DXNG,LRL,DXNG,,,https://en.wikipedia.org/wiki/Niamtougou_International_Airport,
2144,DXXX,large_airport,Lomé–Tokoin International Airport,6.16561,1.25451,72,AF,TG,TG-M,Lomé,yes,DXXX,LFW,DXXX,,,https://en.wikipedia.org/wiki/Lom%C3%A9%E2%80%93Tokoin_International_Airport,Gnassingbe Eyadema International Airport
2155,EBBR,large_airport,Brussels Airport,50.901402,4.48444,175,EU,BE,BE-VBR,Zaventem,yes,EBBR,BRU,EBBR,,http://www.brusselsairport.be/en/,https://en.wikipedia.org/wiki/Brussels_Airport,"Brussels National, Zaventem, EBMB"
2157,EBCI,large_airport,Brussels South Charleroi Airport,50.461963,4.459562,614,EU,BE,BE-WHT,Charleroi,yes,EBCI,CRL,EBCI,,http://www.charleroi-airport.com,https://en.wikipedia.org/wiki/Brussels_South_Charleroi_Airport,Gosselies Airport
2163,EBOS,large_airport,Ostend-Bruges International Airport,51.1998,2.874673,13,EU,BE,BE-VWV,Oostende,yes,EBOS,OST,EBOS,,http://www.ost.aero/,https://en.wikipedia.org/wiki/Ostend-Bruges_International_Airport,Ostend-Bruges International Airport
301881,EDDB,large_airport,Berlin Brandenburg Airport,52.361738,13.502341,157,EU,DE,DE-BR,Berlin,yes,EDDB,BER,EDDB,,https://ber.berlin-airport.de/,https://en.wikipedia.org/wiki/Berlin_Brandenburg_Airport,Willy Brandt
2210,EDDC,large_airport,Dresden Airport,51.134123,13.767831,755,EU,DE,DE-SN,Dresden,yes,EDDC,DRS,EDDC,,http://www.dresden-airport.de/en/index.html,https://en.wikipedia.org/wiki/Dresden_Airport,
2211,EDDE,large_airport,Erfurt-Weimar Airport,50.978281,10.960713,1036,EU,DE,DE-TH,Erfurt,yes,EDDE,ERF,EDDE,,http://www.airport-erfurt.de/,https://en.wikipedia.org/wiki/Erfurt_Airport,Flughafen Erfurt-Weimar
2212,EDDF,large_airport,Frankfurt Main Airport,50.026706,8.55835,364,EU,DE,DE-HE,Frankfurt am Main,yes,EDDF,FRA,EDDF,,https://www.frankfurt-airport.de/,https://en.wikipedia.org/wiki/Frankfurt_Airport,"EDAF, Frankfurt am Main, Frankfurt Main, Rhein-Main Air Base, Zeppelinheim"
2213,EDDG,large_airport,Münster Osnabrück Airport,52.133816,7.688482,160,EU,DE,DE-NW,Greven,yes,EDDG,FMO,EDDG,,https://www.fmo.de/,https://en.wikipedia.org/wiki/M%C3%BCnster_Osnabr%C3%BCck_International_Airport,
2214,EDDH,large_airport,Hamburg Helmut Schmidt Airport,53.630402,9.98823,53,EU,DE,DE-HH,Hamburg,yes,EDDH,HAM,EDDH,,https://www.hamburg-airport.de/en/,https://en.wikipedia.org/wiki/Hamburg_Airport,Hamburg-Fuhlsbüttel Airport
2216,EDDK,large_airport,Cologne Bonn Airport,50.865898,7.14274,302,EU,DE,DE-NW,Köln (Cologne),yes,EDDK,CGN,EDDK,,http://www.koeln-bonn-airport.de/en/,https://en.wikipedia.org/wiki/Cologne_Bonn_Airport,Köln
2217,EDDL,large_airport,Düsseldorf Airport,51.289501,6.76678,147,EU,DE,DE-NW,Düsseldorf,yes,EDDL,DUS,EDDL,,http://www.dus.com/dus_en/,https://en.wikipedia.org/wiki/D%C3%BCsseldorf_Airport,
2218,EDDM,large_airport,Munich Airport,48.353802,11.7861,1487,EU,DE,DE-BY,Munich,yes,EDDM,MUC,EDDM,,http://www.munich-airport.com/,https://en.wikipedia.org/wiki/Munich_Airport,"Franz Josef Strauss Airport, Flughafen München Franz Josef Strauß"
2219,EDDN,large_airport,Nuremberg Airport,49.498699,11.078056,1046,EU,DE,DE-BY,Nuremberg,yes,EDDN,NUE,EDDN,,https://www.airport-nuernberg.de/english,https://en.wikipedia.org/wiki/Nuremberg_Airport,Nürnberg
2220,EDDP,large_airport,Leipzig/Halle Airport,51.420657,12.232705,465,EU,DE,DE-SN,Schkeuditz,yes,EDDP,LEJ,EDDP,,https://www.mdf-ag.com/,https://en.wikipedia.org/wiki/Leipzig/Halle_Airport,Schkeuditz Airport
2222,EDDS,large_airport,Stuttgart Airport,48.689899,9.22196,1276,EU,DE,DE-BW,Stuttgart,yes,EDDS,STR,EDDS,,http://www.flughafen-stuttgart.de/,https://en.wikipedia.org/wiki/Stuttgart_Airport,
2224,EDDV,large_airport,Hannover Airport,52.461102,9.68508,183,EU,DE,DE-NI,Hannover,yes,EDDV,HAJ,EDDV,,https://www.hannover-airport.de,https://en.wikipedia.org/wiki/Hanover/Langenhagen_International_Airport,
2225,EDDW,large_airport,Bremen Airport,53.046786,8.78932,14,EU,DE,DE-HB,Bremen,yes,EDDW,BRE,EDDW,,https://www.bremen-airport.com,https://en.wikipedia.org/wiki/Bremen_Airport,
2227,EDFH,large_airport,Frankfurt-Hahn Airport,49.946353,7.261734,1649,EU,DE,DE-RP,Frankfurt am Main (Lautzenhausen),yes,EDFH,HHN,EDFH,,https://www.hahn-airport.de/en/home,https://en.wikipedia.org/wiki/Frankfurt-Hahn_Airport,
2237,EDJA,large_airport,Memmingen Allgau Airport,47.988092,10.238248,2077,EU,DE,DE-BY,Memmingen,yes,EDJA,FMM,EDJA,,,https://en.wikipedia.org/wiki/Memmingen_Airport,
2244,EDLP,large_airport,Paderborn Lippstadt Airport,51.612527,8.617459,699,EU,DE,DE-NW,Büren,yes,EDLP,PAD,EDLP,,,https://en.wikipedia.org/wiki/Paderborn_Lippstadt_Airport,
2246,EDLV,large_airport,Weeze (Niederrhein) Airport,51.601362,6.141228,106,EU,DE,DE-NW,Weeze,yes,EDLV,NRN,EDLV,,http://www.airport-weeze.de/de,https://en.wikipedia.org/wiki/Airport_Weeze,"LRC, ETUL, Niederrhein Airport, RAF Laarbruch, Düsseldorf Regional, Weeze"
2247,EDLW,large_airport,Dortmund Airport,51.518299,7.61224,425,EU,DE,DE-NW,Dortmund,yes,EDLW,DTM,EDLW,,https://www.dortmund-airport.com/,https://en.wikipedia.org/wiki/Dortmund_Airport,
2256,EDNY,large_airport,Bodensee Airport Friedrichshafen,47.671299,9.51149,1367,EU,DE,DE-BW,Friedrichshafen,yes,EDNY,FDH,EDNY,,https://www.bodensee-airport.eu,https://en.wikipedia.org/wiki/Friedrichshafen_Airport,Bodensee Airport Friedrichshafen
2270,EDSB,large_airport,Karlsruhe Baden-Baden Airport,48.7794,8.0805,408,EU,DE,DE-BW,Rheinmünster,yes,EDSB,FKB,EDSB,,http://www.baden-airpark.de/startseite.html,https://en.wikipedia.org/wiki/Baden_Airpark,Baden Airpark
2285,EDVK,large_airport,Kassel Airport,51.418395,9.391638,820,EU,DE,DE-HE,Calden,yes,EDVK,KSF,EDVK,,http://www.flughafenkassel.de/,https://en.wikipedia.org/wiki/Kassel_Airport,Kassel-Calden
2357,EES,large_airport,Berenice International Airport / Banas Cape Air Base,23.980437,35.460277,108,AF,EG,EG-BA,Berenice Troglodytica,no,HEBR,EES,HEBR,,,https://ar.wikipedia.org/wiki/%D9%85%D8%B7%D8%A7%D8%B1_%D8%A8%D8%B1%D9%86%D9%8A%D8%B3_%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A,
2301,EETN,large_airport,Lennart Meri Tallinn Airport,59.413246,24.83264,131,EU,EE,EE-37,Tallinn,yes,EETN,TLL,EETN,,https://airport.ee/,https://en.wikipedia.org/wiki/Tallinn_Airport,Tallinna Lennujaam
2307,EFHK,large_airport,Helsinki Vantaa Airport,60.318363,24.963341,179,EU,FI,FI-18,Helsinki (Vantaa),yes,EFHK,HEL,EFHK,,http://www.finavia.fi/en/helsinki-airport,https://en.wikipedia.org/wiki/Helsinki_Airport,
2314,EFIV,large_airport,Ivalo Airport,68.6073,27.4053,481,EU,FI,FI-10,Ivalo,yes,EFIV,IVL,EFIV,,http://www.finavia.fi/en/ivalo/,https://en.wikipedia.org/wiki/Ivalo_Airport,
2325,EFKT,large_airport,Kittilä International Airport,67.700996,24.8468,644,EU,FI,FI-10,Kittilä,yes,EFKT,KTT,EFKT,,http://www.finavia.fi/en/kittila/,https://en.wikipedia.org/wiki/Kittil%C3%A4_Airport,
2326,EFKU,large_airport,Kuopio Airport,63.007099,27.7978,323,EU,FI,FI-15,Kuopio / Siilinjärvi,yes,EFKU,KUO,EFKU,,https://www.finavia.fi/en/kuopio/,https://en.wikipedia.org/wiki/Kuopio_Airport,
2329,EFLP,large_airport,Lappeenranta Airport,61.044601,28.144743,349,EU,FI,FI-02,Lappeenranta,yes,EFLP,LPP,EFLP,,https://lppairport.fi/en,https://en.wikipedia.org/wiki/Lappeenranta_Airport,
2330,EFMA,large_airport,Mariehamn Airport,60.1222,19.898199,17,EU,FI,FI-01,Mariehamn,yes,EFMA,MHQ,EFMA,,http://www.finavia.fi/en/mariehamn/,https://en.wikipedia.org/wiki/Mariehamn_Airport,
2334,EFOU,large_airport,Oulu Airport,64.930099,25.354601,47,EU,FI,FI-14,Oulu / Oulunsalo,yes,EFOU,OUL,EFOU,,https://www.finavia.fi/en/oulu/,https://en.wikipedia.org/wiki/Oulu_Airport,
2341,EFRO,large_airport,Rovaniemi Airport,66.563327,25.829751,642,EU,FI,FI-10,Rovaniemi,yes,EFRO,RVN,EFRO,,http://www.finavia.fi/en/rovaniemi/,https://en.wikipedia.org/wiki/Rovaniemi_Airport,
2347,EFTP,large_airport,Tampere-Pirkkala Airport,61.414101,23.604401,390,EU,FI,FI-11,Tampere / Pirkkala,yes,EFTP,TMP,EFTP,,https://www.finavia.fi/en/tampere-pirkkala/,https://en.wikipedia.org/wiki/Tampere-Pirkkala_Airport,
2349,EFTU,large_airport,Turku Airport,60.514099,22.2628,161,EU,FI,FI-19,Turku,yes,EFTU,TKU,EFTU,,https://www.finavia.fi/en/turku/,https://en.wikipedia.org/wiki/Turku_Airport,
2351,EFVA,large_airport,Vaasa Airport,63.05023,21.762543,19,EU,FI,FI-12,Vaasa,yes,EFVA,VAA,EFVA,,http://www.finavia.fi/en/vaasa/,https://en.wikipedia.org/wiki/Vaasa_Airport,
2385,EGAA,large_airport,Belfast International Airport,54.6575012207,-6.2158298492399995,268,EU,GB,GB-NIR,Belfast,yes,EGAA,BFS,EGAA,,http://www.belfastairport.com/,https://en.wikipedia.org/wiki/Belfast_International_Airport,"Aldergrove, RAF Aldergrove"
2389,EGBB,large_airport,Birmingham Airport,52.453899,-1.74803,327,EU,GB,GB-ENG,"Birmingham, West Midlands",yes,EGBB,BHX,EGBB,,https://www.birminghamairport.co.uk/,https://en.wikipedia.org/wiki/Birmingham_Airport,Birmingham International Airport
2398,EGCC,large_airport,Manchester Airport,53.349375,-2.279521,257,EU,GB,GB-ENG,"Manchester, Greater Manchester",yes,EGCC,MAN,EGCC,,http://www.manchesterairport.co.uk/,https://en.wikipedia.org/wiki/Manchester_Airport,"Ringway Airport, RAF Ringway"
2415,EGFF,large_airport,Cardiff International Airport,51.396702,-3.34333,220,EU,GB,GB-WLS,Cardiff,yes,EGFF,CWL,EGFF,,http://www.cwlfly.com/,https://en.wikipedia.org/wiki/Cardiff_Airport,"Caerdydd, Cardiff International Airport, Maes Awyr Caerdydd, Rhoose, Y Rhws"
2417,EGGD,large_airport,Bristol Airport,51.382326,-2.716453,622,EU,GB,GB-ENG,Bristol,yes,EGGD,BRS,EGGD,,http://www.bristolairport.co.uk/,https://en.wikipedia.org/wiki/Bristol_Airport,Lulsgate Bottom
2418,EGGP,large_airport,Liverpool John Lennon Airport,53.334863,-2.849637,80,EU,GB,GB-ENG,Liverpool,yes,EGGP,LPL,EGGP,,http://www.liverpoolairport.com/,https://en.wikipedia.org/wiki/Liverpool_John_Lennon_Airport,
2419,EGGW,large_airport,London Luton Airport,51.874699,-0.368333,526,EU,GB,GB-ENG,"Luton, Luton",yes,EGGW,LTN,EGGW,,http://www.london-luton.co.uk/en/,https://en.wikipedia.org/wiki/Luton_Airport,LON
2429,EGKK,large_airport,London Gatwick Airport,51.148744,-0.185739,202,EU,GB,GB-ENG,London,yes,EGKK,LGW,EGKK,,http://www.gatwickairport.com/,https://en.wikipedia.org/wiki/Gatwick_Airport,"LON, Crawley, Charlwood"
2434,EGLL,large_airport,London Heathrow Airport,51.470748,-0.459909,83,EU,GB,GB-ENG,London,yes,EGLL,LHR,EGLL,,http://www.heathrow.com/,https://en.wikipedia.org/wiki/Heathrow_Airport,"LON, Londres"
2444,EGNM,large_airport,Leeds Bradford Airport,53.865898,-1.66057,681,EU,GB,GB-ENG,"Leeds, West Yorkshire",yes,EGNM,LBA,EGNM,,http://www.lbia.co.uk/,https://en.wikipedia.org/wiki/Leeds_Bradford_International_Airport,
2447,EGNS,large_airport,Isle of Man Airport,54.083081,-4.623871,52,EU,IM,IM-U-A,Castletown,yes,EGNS,IOM,EGNS,,http://www.iom-airport.com/,https://en.wikipedia.org/wiki/Isle_of_Man_Airport,"Ronaldsway, Douglas"
2448,EGNT,large_airport,Newcastle International Airport,55.037958,-1.689577,266,EU,GB,GB-ENG,"Newcastle upon Tyne, Tyne and Wear",yes,EGNT,NCL,EGNT,,http://www.newcastleairport.com/,https://en.wikipedia.org/wiki/Newcastle_International_Airport,
2450,EGNX,large_airport,East Midlands Airport,52.8311,-1.32806,306,EU,GB,GB-ENG,"Nottingham, Leicestershire",yes,EGNX,EMA,EGNX,,http://www.eastmidlandsairport.com/,https://en.wikipedia.org/wiki/East_Midlands_Airport,RAF Castle Donington
2459,EGPD,large_airport,Aberdeen International Airport,57.2019,-2.19778,215,EU,GB,GB-SCT,Aberdeen,yes,EGPD,ABZ,EGPD,,http://www.aberdeenairport.com/,https://en.wikipedia.org/wiki/Aberdeen_Airport,Dyce
